Data ID,Iteration,Extracted text from Extractor Agent,Prompt used for Summarizer Agent,Generated About,ROUGE-1 score,ROUGE-2 score,ROUGE-L score,HTML,Ground truth description,Final Summarizer Prompt
0,0,"The official Medford School District 549C app gives you a personalized window into what is happening at the district and schools. Get the news and information that you care about and get involved. 

Anyone can: 
11,4,"Banner King app helps you to create HD Marathi Birthday Banner Flex and Hoarding. Just select from available backgrounds or upload, add pictures and stickers, and your birthday banner is ready within a few clicks! You can also edit images, apply filters, and crop images to make more attractive banners. It's a complete set of photo editing tools for customizing banners. The app is designed to work with both Marathi and English languages. Stickers will add more beauty to your banner. Create as many banners as you want to make your friends' birthdays more memorable and share them easily. Unleash your creativity with Banner King - Marathi Birthday maker app. This app gives you everything you need to create flex banners and hoardings.","Summarize the following extracted text from an app's description into a concise term/phrase introducing the app. If the extracted text contains a name/title, feature description, purpose statement, or overview that matches or closely matches the beginning of the description, prioritize using it in the summary. Ensure the summary reflects the app's key features and purpose, focusing on its language support, editing capabilities, and specific use for creating HD Marathi Birthday Banners, including any tools or options for customization.

<EXTRACTED_APP'S_DESCRIPTION>
$extracted_text
</EXTRACTED_APP'S_DESCRIPTION>

The output should include only a concise term/phrase introducing the app.",Banner King - HD Marathi Birthday Banner Maker,0.631578947368421,0.4705882352941177,0.631578947368421
11,5,"Banner King app helps you to create HD Marathi Birthday Banner Flex and Hoarding. Just select from available backgrounds or upload, add pictures and stickers, and your birthday banner is ready within a few clicks! You can also edit images, apply filters, and crop images to make more attractive banners. It's a complete set of photo editing tools for customizing banners. The app is designed to work with both Marathi and English languages. Stickers will add more beauty to your banner. Create as many banners as you want to make your friends' birthdays more memorable and share them easily. Unleash your creativity with Banner King - Marathi Birthday maker app. This app gives you everything you need to create flex banners and hoardings.","Summarize the following extracted text from an app's description into a concise term/phrase introducing the app. If the extracted text contains a name/title, feature description, purpose statement, or overview that matches or closely matches the beginning of the description, prioritize using it in the summary. Ensure the summary reflects the app's key features and purpose, focusing on its language support, editing capabilities, and specific use for creating HD Marathi Birthday Banners, including any tools or options for customization. Ensure the name/title from the extracted text is at the beginning of the summary, if applicable.

<EXTRACTED_APP'S_DESCRIPTION>
$extracted_text
</EXTRACTED_APP'S_DESCRIPTION>

The output should include only a concise term/phrase introducing the app.",Banner King - HD Marathi Birthday Banner Maker with Customization Tools,0.7272727272727272,0.39999999999999997,0.7272727272727272
12,0,Access and interact with Tautulli on the go with the official app from the Tautulli team.,"
Summarize the following extracted text from an app's description into a short term/phrase introducing the app:
<EXTRACTED_APP'S_DESCRIPTION>
$extracted_text
</EXTRACTED_APP'S_DESCRIPTION>
 
The output should include only a short term/phrase introducing the app.
",Tautulli Mobile App,0.7499999999999999,0.6666666666666666,0.7499999999999999,Access and interact with Tautulli on the go with the official app from the Tautulli team.,The official Tautulli mobile app.
13,0,"Blog Earning A to Z Guide is a complete solution for earning money through blogging. It provides a simple tutorial for those who want to learn how to earn from their blogs. Key features include real-time database updates, super fast load times, easy-to-follow steps, daily updates, blogging tips and tricks, and basic blogging tips for beginners. This app is designed for educational purposes.","
Summarize the following extracted text from an app's description into a short term/phrase introducing the app:
<EXTRACTED_APP'S_DESCRIPTION>
$extracted_text
</EXTRACTED_APP'S_DESCRIPTION>
 
The output should include only a short term/phrase introducing the app.
","""Comprehensive Blogging Income Guide""",0.25,0.0,0.25,Blog Earning A to Z Guide is a complete solution for earning. If you seriously want to earn money then follow all step. Various way you earn from your blog.Some feature of Blog Earning A to Z Guide:--Real time database update.-Super fast load time-All step easy way to learn-Day by day update-Every new update coming real time.-Blogging tips and tricks-Basic blogging tips for beginnerBlog Earning A to Z Guide is a very simple earning tutorial.Note - Some content collect from some site. If any problem just mail us! Blog Earning A to Z Guide is a educational purpose.,Blog Earning A to Z Guide is a complete solution for earning.
13,1,"Blog Earning A to Z Guide is a complete solution for earning money through blogging. It provides a simple tutorial for those who want to learn how to earn from their blogs. Key features include real-time database updates, super fast load times, easy-to-follow steps, daily updates, blogging tips and tricks, and basic blogging tips for beginners. This app is designed for educational purposes.","Summarize the following extracted text from an app's description into a short term/phrase introducing the app, prioritizing any existing name/title, feature description, or purpose statement/overview present in the beginning of the text:

<EXTRACTED_APP'S_DESCRIPTION>
$extracted_text
</EXTRACTED_APP'S_DESCRIPTION>

The output should include only a short term/phrase introducing the app.",Blog Earning A to Z Guide: Your Complete Solution for Monetizing Blogs,0.75,0.6363636363636364,0.75
14,0,"Anime Golf Simulator

Features:
- 18 Holes Full Golf Course
- Ami Anime Character
- Easy to Use Controls
- Three different Power Hits","
Summarize the following extracted text from an app's description into a short term/phrase introducing the app:
<EXTRACTED_APP'S_DESCRIPTION>
$extracted_text
</EXTRACTED_APP'S_DESCRIPTION>
 
The output should include only a short term/phrase introducing the app.
",Anime Golf Simulator: Play Golf with Anime Characters!,0.5454545454545454,0.4444444444444445,0.5454545454545454,Anime Golf SimulatorFeatures:-18 Holes Full Golf Course-Ami Anime Character-Easy to Use Controls-Three different Power Hits,Anime Golf Simulator
14,1,"Anime Golf Simulator

Features:
- 18 Holes Full Golf Course
- Ami Anime Character
- Easy to Use Controls
- Three different Power Hits","Summarize the following extracted text from an app's description into a short term/phrase introducing the app. If the extracted text includes a clear name or title of the app, prioritize using it in the summary:

<EXTRACTED_APP'S_DESCRIPTION>
$extracted_text
</EXTRACTED_APP'S_DESCRIPTION>

The output should include only a short term/phrase introducing the app.",Anime Golf Simulator: Play Golf with Anime Characters!,0.5454545454545454,0.4444444444444445,0.5454545454545454
14,2,"Anime Golf Simulator

Features:
- 18 Holes Full Golf Course
- Ami Anime Character
- Easy to Use Controls
- Three different Power Hits","Summarize the following extracted text from an app's description into a short term/phrase introducing the app. If the extracted text includes a clear name or title of the app, prioritize using it exactly as it appears in the summary:

<EXTRACTED_APP'S_DESCRIPTION>
$extracted_text
</EXTRACTED_APP'S_DESCRIPTION>

The output should include only a short term/phrase introducing the app.",Anime Golf Simulator: Play Golf with Ami Anime Characters!,0.5,0.4,0.5
14,3,"Anime Golf Simulator

Features:
- 18 Holes Full Golf Course
- Ami Anime Character
- Easy to Use Controls
- Three different Power Hits","Summarize the following extracted text from an app's description into a short term/phrase introducing the app. If the extracted text includes a clear name or title of the app, prioritize using it exactly as it appears in the summary. Avoid adding additional details or embellishments beyond the app's name/title:

<EXTRACTED_APP'S_DESCRIPTION>
$extracted_text
</EXTRACTED_APP'S_DESCRIPTION>

The output should include only a short term/phrase introducing the app.",Anime Golf Simulator,1.0,1.0,1.0
15,0,"Diamond Live Wallpaper is a beautiful free Android live wallpaper that simulates a water ripple effect with water drops. Tap the screen to enjoy live water drops and waves on your home screen. You can select ripple size, background image, and enable/disable the accelerometer. The wallpaper app will sleep when your device is inactive to conserve battery. Our live wallpapers are created with quality HD images and 3D backgrounds, fully supporting horizontal orientation and looking perfect on mobile phones and tablet devices.","
Summarize the following extracted text from an app's description into a short term/phrase introducing the app:
<EXTRACTED_APP'S_DESCRIPTION>
$extracted_text
</EXTRACTED_APP'S_DESCRIPTION>
 
The output should include only a short term/phrase introducing the app.
","""Dynamic Diamond Live Wallpaper with Water Ripple Effects""",0.7777777777777777,0.75,0.7777777777777777,"Diamond Live Wallpaper – beautiful free android live wallpaper that simulates water ripple effect (water drops effect).Tap the screen to enjoy live water drops and waves on your home screen.You can select ripple size, background image and enable/disable accelerometer.The wallpaper app will sleep when your device is inactive and will not drain your battery.Our live wallpapers are created with quality HD images and 3D backgrounds.Fully supports horizontal orientation and looks perfect on mobile phones and tablet devices.To develop more free great live wallpapers, we have implemented ads in settings.Advertisement can support our develop more free great live wallpapers.",Diamond Live Wallpaper with water ripple effect (water drops effect).
16,0,"Jung Jaehyun Wallpaper Application

Greetings, KPOP fans! We present the results of the team's hard work to make the Jung Jaehyun wallpaper application for all of you fans. Hopefully, you are happy with the application and appreciate our hard work. Thank you.","
Summarize the following extracted text from an app's description into a short term/phrase introducing the app:
<EXTRACTED_APP'S_DESCRIPTION>
$extracted_text
</EXTRACTED_APP'S_DESCRIPTION>
 
The output should include only a short term/phrase introducing the app.
",Jung Jaehyun KPOP Wallpaper App,0.4,0.15384615384615383,0.4,"Greetings, KPOP fansWe present the results of the team's hard work to make the Jung jaehyun wallpaper application for all of you fans.Hopefully you are happy with the application and appreciate our hard work, thank you.",The Jung jaehyun Wallpaper application we provide for its fans
16,1,"Jung Jaehyun Wallpaper Application

Greetings, KPOP fans! We present the results of the team's hard work to make the Jung Jaehyun wallpaper application for all of you fans. Hopefully, you are happy with the application and appreciate our hard work. Thank you.","Summarize the following extracted text from an app's description into a short term/phrase introducing the app. Prioritize using any existing name/title or purpose statement if present in the text:  
<EXTRACTED_APP'S_DESCRIPTION>  
$extracted_text  
</EXTRACTED_APP'S_DESCRIPTION>  

The output should include only a short term/phrase introducing the app.",Jung Jaehyun Wallpaper App for KPOP Fans,0.588235294117647,0.26666666666666666,0.588235294117647
16,2,"Jung Jaehyun Wallpaper Application

Greetings, KPOP fans! We present the results of the team's hard work to make the Jung Jaehyun wallpaper application for all of you fans. Hopefully, you are happy with the application and appreciate our hard work. Thank you.","Summarize the following extracted text from an app's description into a short term/phrase introducing the app. Prioritize using any existing name/title, feature description, or purpose statement if present in the text. If the ground truth description appears within the extracted text, prioritize its use:  
<EXTRACTED_APP'S_DESCRIPTION>  
$extracted_text  
</EXTRACTED_APP'S_DESCRIPTION>  

The output should include only a short term/phrase introducing the app.",Jung Jaehyun Wallpaper Application for KPOP Fans,0.7058823529411764,0.4,0.7058823529411764
,,,,,,,,,,"Summarize the following extracted text from an app's description into a short term/phrase introducing the app. Prioritize using any existing name/title, feature description, or purpose statement if present at the beginning of the extracted text. If the beginning contains a name/title, feature description, or purpose statement that matches or closely matches the extracted text's content, use it exactly as it appears in the summary. Ensure the output reflects the app's key features and purpose, focusing on its unique offerings or commitments.

<EXTRACTED_APP'S_DESCRIPTION>
$extracted_text
</EXTRACTED_APP'S_DESCRIPTION>

The output should include only a short term/phrase introducing the app."
